symbol,action_type,ex_date,ratio_from,ratio_to,record_date,source,verified
ADANIENT,BONUS,2017-04-26,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ADANIPORTS,BONUS,2024-06-04,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ASHOKLEY,BONUS,2020-03-23,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BAJAJFINSV,BONUS,2020-03-23,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BANDHANBNK,BONUS,2018-10-01,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BANDHANBNK,BONUS,2020-03-23,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BHEL,BONUS,2024-06-04,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BPCL,BONUS,2018-10-05,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
IDEA,BONUS,2019-11-14,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
IDEA,BONUS,2020-01-17,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
IDEA,BONUS,2020-02-14,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
INDUSINDBK,BONUS,2020-03-18,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
POLYCAB,BONUS,2024-01-11,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
RECLTD,BONUS,2024-06-04,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
VEDL,BONUS,2019-02-01,1,4,,PRICE_INFERRED_NEEDS_VERIFICATION,false
VEDL,BONUS,2020-10-12,1,3,,PRICE_INFERRED_NEEDS_VERIFICATION,false
VEDL,BONUS,2026-04-30,1,2,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ADANIENT,,2023-02-01,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ADANIENT,,2023-02-02,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ADANIENT,,2024-11-21,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ASHOKLEY,,2020-03-19,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
ASHOKLEY,,2020-03-26,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
AXISBANK,,2020-03-23,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
BAJFINANCE,,2020-03-23,,,,PRICE_INFERRED_NEEDS_VERIFICATION,false
